word,han,ham,hun,hende
besat,-0.22185845643658827,1.270973346976486,0.0,0.0
besatte,0.0,1.6359470937299132,0.0,0.0
besejre,0.0,2.429177732846841,0.0,0.0
besejrede,2.6044914426946453,2.593245849331445,0.0,0.0
besejrer,2.7176340987945267,2.195562881665336,0.0,0.0
besejret,-0.1710000392030974,0.0,0.0,0.0
besidde,0.0,2.1059507229756487,0.0,0.0
besidder,1.3158355511386708,0.0,0.0,0.0
beskrev,2.7547736457439833,2.561206495586829,2.6031554543308073,0.0
beskrevet,-0.8641472197630427,0.0,0.0,2.3047640674184815
beskrive,-0.7016282902652679,1.3020291369137973,0.0,0.0
beskriver,2.134145874652622,1.3691284789130418,2.9559768289535495,0.0
beskrives,1.0257525171493516,0.0336776707744253,1.685064541952504,0.0
beskylde,0.0,4.649697872786582,0.0,0.0
beskylder,1.241727578984949,3.4277065629579684,0.0,0.0
beskyldes,2.5815019244699466,0.0,0.0,0.0
beskyldt,1.7705717082536176,2.1647912229985824,0.0,0.0
beskyldte,3.369959284834217,3.3587136914710167,0.0,0.0
beskytte,0.0,2.6128159455255426,2.4724433474755663,2.2094538876141567
beskyttede,2.453668552960062,2.4424229595968616,0.0,0.0
beskytter,0.9720640120358461,2.5702563311067466,0.0,0.0
beskyttes,0.0,3.0222414548498038,0.0,0.0
beskyttet,0.3112522121188373,0.0,0.0,0.0
beskæftigede,2.7821726199320977,0.0,0.0,0.0
beskæftiger,0.5308808213256027,0.0,0.0,0.0
beskæftiget,0.0,2.134938259848901,0.0,0.0
besluttede,2.9173473983003504,1.7360305522868957,1.5956579542369196,2.7189628554954006
beslutter,2.8496139007276304,0.8014863801033902,2.452873251281469,0.0
besluttet,1.284287193403745,0.5798944194805995,0.0,0.0
besteg,2.964494176726052,0.0,0.0,0.0
bestemme,-1.3476463304836628,1.531479834049302,0.0,0.0
bestemmer,0.40262648580192384,0.5737024492326783,1.5319421398508117,1.9620998605493478
bestemt,0.0,0.0,-0.8016390535121979,0.32166584774628326
bestemte,-0.5259343386640456,0.5614323566408641,1.9251371553671621,0.0
bestikke,0.0,4.562686495796953,0.0,0.0
bestilt,0.0,3.521232620968792,0.0,0.0
bestod,0.0413325960068969,1.1286992913118066,0.0,0.0
bestred,4.573932089160153,0.0,0.0,0.0
bestræbte,3.475319800492043,0.0,0.0,0.0
bestå,-0.09889674530175338,2.3747643111230468,0.0,0.0
består,-1.1722711013800005,1.3013899550447996,0.0,0.0
besvare,0.15509148136355488,0.0,0.0,0.0
besvarede,2.964494176726052,3.3587136914710167,0.0,5.440258283347631
besvarer,2.473871260277581,0.0,0.0,0.0
besvaret,0.8362624708767844,0.0,0.0,0.0
besvimede,2.494490547480317,3.5818572427852264,0.0,0.0
besvimer,2.1760368163617825,0.0,0.0,0.0
besætte,0.0,2.8280854404088465,0.0,0.0
besøge,0.0,2.5869233835919583,0.0,3.656867063790093
besøger,2.7225805227298525,2.6572677080963767,2.9223602181545645,3.6402000113048816
besøgt,-0.19675253530551204,0.8906141599993977,2.5420010311774766,4.358453112995903
besøgte,2.422169885900691,2.91169958044998,2.8583383593896334,3.9816432606481147
betaget,1.1399448846750064,0.0,0.0,4.308856171856531
betale,0.4092067301762525,1.3630420328566397,0.0,0.0
betaler,2.1001987399702777,0.0,0.0,0.0
betalt,0.0,1.2668496297926237,0.0,0.0
betalte,2.925273463572771,1.7100550658836353,0.0,3.0984524772003046
betegnede,1.8658818880579426,2.9532485833628526,0.0,0.0
betegner,0.8362624708767844,1.2304819856217488,0.0,0.0
betjene,0.0,3.0222414548498038,0.0,0.0
betjener,2.3767075118239336,0.0,5.115461078306922,0.0
betjenes,3.1876377280402624,0.0,0.0,0.0
betone,2.494490547480317,0.0,0.0,0.0
betoner,1.9348747595448943,3.0222414548498038,0.0,0.0
betragte,-0.6730919830003333,1.800569073424467,0.0,2.495819304181191
betragtede,1.6652111925957915,3.599875748287905,0.0,5.121804552229096
betragter,1.2597460844876271,2.9532485833628526,0.0,2.636897902441097
betragtes,1.7605213724001165,0.0,2.70751546965505,0.0
betragtet,0.009583897692316533,1.096950592997226,2.748337464175305,0.0
betro,0.0,3.2409306558146334,0.0,0.0
betroede,1.2135567020182527,2.0777798460089523,1.6497251755071953,0.0
betroet,-0.5706511774458417,0.516715517859068,0.0,1.9051129291757372
betror,2.4637188888135633,2.1647912229985824,0.0,0.0
betvivler,2.3767075118239336,0.0,0.0,0.0
