,word,frequency,han,ham,hun,hende
344,bevarede,10,3.3852285012455536,0.0,3.9999587816305286,0.0
345,bevarer,76,1.357080253953268,2.1309717057562927,0.0,0.0
346,bevares,36,1.6714305734872106,0.0,0.0,0.0
347,bevaret,36,0.0,2.1850389270265684,0.0,0.0
348,bevidner,14,1.9501439759562311,0.0,0.0,0.0
349,bevidnet,11,0.0,0.0,0.0,5.11165684132386
350,bevirket,1,4.589201305571491,0.0,0.0,0.0
351,bevise,114,-0.1729726292262666,1.0063839306849225,0.0,0.0
352,bevist,47,0.0,1.9184102637726204,0.0,0.0
353,bevæge,380,-0.6578227665889966,1.6201460819903022,0.3623726219041425,0.0
354,bevægede,72,2.3645777540471555,1.4644927722785088,1.998478781420404,3.2054870209180613
355,bevægende,72,0.0,0.0,0.0,3.232885995106176
356,bevæger,427,1.1714746219581238,1.6576840013093674,2.1916700104512628,0.0
357,bevæges,83,0.8515316872881211,0.0,0.0,0.0
358,bevæget,109,-0.10214657665765414,1.0772099832535351,0.0,0.0
359,bibragte,1,0.0,0.0,0.0,7.509552114122231
360,bidrog,13,2.0242519481099532,0.0,0.0,0.0
361,bidt,15,0.0,3.0605076643804683,0.0,0.0
362,bilde,124,0.0,0.9482762998776416,0.0,0.0
363,bilder,135,2.1688331769210607,0.863283087044249,2.09041627674609,0.0
364,bildte,19,0.0,2.824118886316238,0.0,0.0
365,billigede,1,4.589201305571491,0.0,0.0,0.0
366,binder,282,0.7390537038614309,2.0725609435998784,0.6606368036864602,0.0
367,bisat,5,2.979763393137389,0.0,0.0,0.0
368,bjærge,13,2.0242519481099532,0.0,0.0,0.0
369,bl.a,410,0.0,0.0,0.0,0.0
370,bla,50,0.0,2.9159264355693613,2.3513001560431466,0.0
371,blandede,40,1.568776419427127,0.0,0.0,0.0
372,blander,71,1.0196686090901192,1.505877988441363,2.039863997583258,0.0
373,ble,23,1.3703254807032887,2.549682040614478,0.0,0.0
374,blev,11294,2.1954548669009277,1.3259066089923621,2.1343294638360177,1.1722840029641517
375,blevet,4805,-0.10672324368506574,0.8719626207639718,-0.2316601594949293,0.12805021961552412
376,blinke,22,1.4981588522131737,0.0,3.2115014212662585,0.0
377,blinker,20,2.237826048408012,0.0,0.0,0.0
378,blir,18,2.5523193783104503,0.0,0.0,0.0
379,bliv,158,0.0,0.4602901680814737,0.0,0.0
380,blive,10118,-1.2015477422032794,0.7923168552721224,-0.8427508359555054,0.6827111346606862
381,bliver,16183,1.4093563009081491,0.8712732955037719,1.3716426938466824,0.5245271996487932
382,blotte,69,0.0,1.5344513608854191,0.0,0.0
383,blottede,7,2.643291156516176,0.0,0.0,0.0
384,blændede,15,0.0,5.006417813435783,0.0,0.0
385,blæser,202,1.7658402579582848,0.0,0.0,0.0
386,blæste,92,2.0133228775777625,1.2467692884336379,0.0,0.0
387,bløder,24,1.4111474752235438,0.0,0.0,0.0
388,blødte,13,0.0,3.2036085080211416,0.0,0.0
389,bo,294,-1.1278263958347323,0.05153016407645675,0.0,0.0
390,bobler,41,0.0,0.0,0.0,3.795980047417923
391,boede,273,2.0242519481099532,0.15908607029771865,3.4011222805418244,1.900080318937271
392,boet,60,1.1880039239093343,1.6742133032605775,2.901346492962418,0.0
393,booket,4,0.0,0.0,4.916249513504684,0.0
394,bor,641,1.8566475814133656,1.2207141746863055,1.8882315764527235,2.402092635390435
395,borer,8,2.5097597638916542,0.0,0.0,0.0
396,boret,10,0.0,3.4659727724886324,0.0,0.0
397,bortfører,3,0.0,4.669945576814569,0.0,0.0
398,bragt,217,0.8004765164878372,2.567619741301145,0.0,2.8045365931644235
399,bragte,183,2.4707576060883847,3.0439783624292582,1.7862049023430984,3.909503873714911
400,brast,32,1.0926937441050093,2.272050304016198,0.0,4.01304455265575
401,brede,153,0.0,0.7316052630690494,0.0,2.472599511708602
402,breder,133,0.0,1.9768210259290344,0.0,0.0
403,bredte,82,1.568776419427127,2.054985798778371,0.0,0.0
404,bremsede,3,0.0,0.0,5.2039315859564645,0.0
405,bremser,10,2.286616212577444,3.4659727724886324,0.0,0.0
406,bringe,642,0.0,1.6941068437801483,0.0,1.0372058196213303
407,bringer,546,1.4184202345526238,2.170332779636873,0.0,2.9950362964022705
408,bringes,67,1.0482419815341757,1.5344513608854191,0.0,0.0
409,briste,44,0.8050116716532284,0.0,0.0,0.0
410,brister,45,0.0,0.0,2.495881384854254,0.0
411,brokkede,11,0.0,3.370662592684308,0.0,0.0
412,brokker,25,1.3311047675500076,0.0,0.0,0.0
413,brudt,259,-0.28217192119125856,0.0,0.0,0.0
414,bruge,1621,-0.7227723874240329,1.468185084165636,0.009740928617325334,0.11813687944687258
415,bruger,1224,1.951768671683233,-0.2475992942156748,1.2672159679379469,0.3947826657557676
416,bruges,489,-0.2229830498009279,-0.4299208510096296,0.10406515813226576,0.0
417,brugt,541,-1.0129175153082113,0.0,0.0,0.0
418,brugte,307,2.6170601443673065,0.7283637691448783,1.955496958846719,1.7762108372244854
419,bryde,431,-0.09524206131110988,0.7964324261482983,0.0,0.0
420,bryder,752,1.898290614345976,-0.16103127790721602,2.1647142004627344,0.0
421,brydes,152,-0.44123661582094603,0.7381199440902431,0.0,0.0
422,bryste,15,1.8811511044692797,0.0,0.0,0.0
423,brækkede,15,0.0,0.0,3.594493673522364,0.0
424,brænde,142,0.0,0.7987445659066779,0.0,0.0
425,brænder,227,-0.8575360660948204,1.7081148549362593,0.0,0.0
426,brændt,109,0.5728182848191008,0.0,1.5930136733122398,2.8000219128098967
